Species,grassland,site,grass.forb.shrub,photosynthesis,annual.perennial,max.height (mm),root.diameter (mm),SRL (m g-1),root.tissue.density (cm3 g-1),root.nitrogen.content (%),SLA (cm2 g-1),LDMC (g g-1),Leaf.tissue.density (cm3 g-1),Leaf.area (cm2),tugor.loss.point (Mpa),leaf.nitrogen.content (%),author_location.primary,relation.to.EDGE.primary,author_location.secondary,relation.to.EDGE.secondary,author_location.tertiary,relation.to.EDGE.tertiary
Sorghastrumnutans,tallgrass,KNZ,G,C4,Perennial,180.86,0.238,78.45428,0.317752,NA,163.79195,0.39788,0.489839,NA,NA,1.09,ST_KS,local,AF_AI,regional,TRY_KS,regional
Sporobolusasper,tallgrass,KNZ,G,C4,Perennial,95.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Verbenastricta,tallgrass,KNZ,F,C3,Perennial,90,NA,NA,NA,NA,115.94203,NA,0.2875,NA,NA,NA,TRY_KS,regional,NA,NA,NA,NA
Artemisiafrigida,northern shortgrass,SGS,F,C3,Perennial,33.84,0.24195,70.28428596,NA,1.02,169.4188881,0.430576332,0.33609394,0.6698,-2.2888,1.943,DB_CO,local,NA,NA,NA,NA
Boutelouagracilis,northern shortgrass,SGS,G,C4,Perennial,23.136,0.183741667,123.04093,0.3752851,0.56,125.5501051,0.480014021,0.412646057,1.018,-2.1479208,1.857,DB_CO,local,NA,NA,NA,NA
Buchloedactyloides,northern shortgrass,SGS,G,C4,Perennial,NA,NA,NA,NA,0.78,131.75231,0.61125,NA,NA,NA,NA,TRY_multiple,global,NA,NA,NA,NA
Carexeleocharis,northern shortgrass,SGS,G,C3,Perennial,12.652,0.1892,76.88056507,NA,0.716666667,110.0503329,0.40284305,NA,1.11075,-2.15417688,1.753,DB_CO,local,NA,NA,NA,NA
Cirsiumundulatum,northern shortgrass,SGS,F,C3,Perennial,49.14,NA,NA,NA,NA,92.92159789,0.261275317,0.41,46.19333333,-0.883358496,1.971428571,DB_CO,local,NA,NA,NA,NA
Conyzacanadensis,northern shortgrass,SGS,F,C3,Annual,96.65909,NA,NA,NA,NA,0.00924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptanthaminima,northern shortgrass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinocereusviridiflorus,northern shortgrass,SGS,F,CAM,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elymuselymoides,northern shortgrass,SGS,G,C3,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ericamerianauseosa,northern shortgrass,SGS,F,C3,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heterothecavillosa,northern shortgrass,SGS,F,C3,Perennial,19.29333333,0.254566667,69.97353922,NA,0.8,125.3067938,0.328382588,NA,1.50075,-1.30543536,2.544,DB_CO,local,NA,NA,NA,NA
Ipomopsislaxiflora,northern shortgrass,SGS,F,C3,Biennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepidiumdensiflorum,northern shortgrass,SGS,F,C3,Annual,17.528,0.119727767,317.5002833,0.40364305,1.816666667,175.1400009,0.190562613,0.46227389,0.68675,-0.949672944,3.816,DB_CO,local,NA,NA,NA,NA
Machaerantheratanacetifolia,northern shortgrass,SGS,F,C3,Annual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oenotherasp.,northern shortgrass,SGS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Opuntiapolyacantha,northern shortgrass,SGS,S,C3,Perennial,60.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantagopatagonica,northern shortgrass,SGS,F,C3,Annual,9.412,0.168471429,264.2943584,NA,1.25,125.8134807,0.228196907,NA,1.64475,-0.9627412,2.055,DB_CO,local,NA,NA,NA,NA
Salsolatragus,northern shortgrass,SGS,F,C4,Annual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
